duration(s),mode(str),current(A),voltage(V),cutoff_current(A),step_name(str),heater_voltage(V),heater_current(A),VSYS_state(str)
3600.0,CHARGE,3.0,20.4,0.5,charge_to_90_soc,,,OFF
3600.0,REST,,,,1hr_rest,,,OFF
1.0,DISCHARGE,60.0,15.0,0.5,20C_1s_discharge,,,OFF
60.0,REST,,,,1min_rest,,,OFF
1.0,DISCHARGE,30.0,15.0,0.5,10C_1s_discharge,,,OFF
60.0,REST,,,,1min_rest,,,OFF
3.0,DISCHARGE,15.0,15.0,0.5,5C_3s_discharge,,,OFF
60.0,REST,,,,1min_rest,,,OFF
3600.0,DISCHARGE,3.0,20.1,0.5,discharge_to_80_soc,,,OFF
3600.0,REST,,,,1hr_rest,,,OFF
1.0,DISCHARGE,60.0,15.0,0.5,20C_1s_discharge,,,OFF
60.0,REST,,,,1min_rest,,,OFF
1.0,DISCHARGE,30.0,15.0,0.5,10C_1s_discharge,,,OFF
60.0,REST,,,,1min_rest,,,OFF
3.0,DISCHARGE,15.0,15.0,0.5,5C_3s_discharge,,,OFF
60.0,REST,,,,1min_rest,,,OFF
3600.0,DISCHARGE,3.0,19.5,0.5,discharge_to_70_soc,,,OFF
3600.0,REST,,,,1hr_rest,,,OFF
1.0,DISCHARGE,60.0,15.0,0.5,20C_1s_discharge,,,OFF
60.0,REST,,,,1min_rest,,,OFF
1.0,DISCHARGE,30.0,15.0,0.5,10C_1s_discharge,,,OFF
60.0,REST,,,,1min_rest,,,OFF
3.0,DISCHARGE,15.0,15.0,0.5,5C_3s_discharge,,,OFF
60.0,REST,,,,1min_rest,,,OFF
