duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),step_name(str)
1800.0,REST,,,,ON,45.0,precondition_to_45deg
10000.0,CHARGE,60.0,57.6,1.0,ON,45.0,60A_charge_at_45deg_1
3600.0,CHARGE,0.8,57.6,0.1,ON,30.0,rest_and_precondition_to_30deg_1
58.0,DISCHARGE,85,35,1.0,OFF,30.0,takeoff_hover_trans_1
195.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_ob_1
41.0,DISCHARGE,80.0,35,1.0,OFF,30.0,delivery_hover_1
10.0,DISCHARGE,171.7,35,1.0,OFF,30.0,transition_1
138.3,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_ib_1
29.0,DISCHARGE,51.7,35,1.0,OFF,30.0,detransition_1
20.0,DISCHARGE,78.3,35,1.0,OFF,30.0,docking_hover_1
1.0,DISCHARGE,153.3,35,1.0,OFF,30.0,docking_hover_pulse_1
14.0,DISCHARGE,68.3,35,1.0,OFF,30.0,final_docking_1
3960.0,CHARGE,0.8,57.6,0.1,ON,45.0,1A_rest_after_discharge_and_precon_to_45deg_1
10000.0,CHARGE,60.0,57.6,1.0,ON,45.0,60A_charge_at_45deg_2
3600.0,CHARGE,0.8,57.6,0.1,ON,30.0,rest_and_precondition_to_30deg_2
58.0,DISCHARGE,85,35,1.0,OFF,30.0,takeoff_hover_trans_2
195.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_ob_2
41.0,DISCHARGE,80.0,35,1.0,OFF,30.0,delivery_hover_2
10.0,DISCHARGE,171.7,35,1.0,OFF,30.0,transition_2
917.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_ib_2
29.0,DISCHARGE,51.7,35,1.0,OFF,30.0,detransition_2
20.0,DISCHARGE,78.3,35,1.0,OFF,30.0,docking_hover_2
1.0,DISCHARGE,153.3,35,1.0,OFF,30.0,docking_hover_pulse_2
14.0,DISCHARGE,68.3,35,1.0,OFF,30.0,final_docking_2
3960.0,CHARGE,0.8,54,0.1,ON,45.0,1A_rest_after_discharge_and_precon_to_45deg_2
10000.0,CHARGE,60.0,54,1.0,ON,45.0,60A_charge_at_45deg_4
3600.0,CHARGE,0.8,54,0.1,ON,30.0,rest_and_precondition_to_30deg_4
58.0,DISCHARGE,85,35,1.0,OFF,30.0,takeoff_hover_trans_4
195.0,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_ob_4
41.0,DISCHARGE,80.0,35,1.0,OFF,30.0,delivery_hover_4
10.0,DISCHARGE,171.7,35,1.0,OFF,30.0,transition_4
138.3,DISCHARGE,31.7,35,1.0,OFF,30.0,transit_ib_4
29.0,DISCHARGE,51.7,35,1.0,OFF,30.0,detransition_4
20.0,DISCHARGE,78.3,35,1.0,OFF,30.0,docking_hover_4
1.0,DISCHARGE,153.3,35,1.0,OFF,30.0,docking_hover_pulse_4
14.0,DISCHARGE,68.3,35,1.0,OFF,30.0,final_docking_4
3690.0,CHARGE,0.8,55,0.1,ON,45.0,1A_rest_after_discharge_and_precon_to_45deg_4
10000.0,CHARGE,5,55,1.0,ON,45.0,5A_charge_to_55V
60.0,REST,,,,OFF,45.0,60s_rest
