step_id(int),next_step(int),parent_step(int),kid_step(int),step_name(str),duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),cutoff_temperature(degC),skip_alarms(str)
1,2,0,0,precondition_to_20C,1800.0,REST,,,,ON,20,20,na
2,3,0,0,1C_charge_to_58.8,3600.0,CHARGE,27.0,58.6,5.0,ON,20,0,na
3,4,0,0,1C_discharge_to_42V,3600.0,DISCHARGE,27.0,42.0,5.0,ON,20,0,na
4,5,0,0,10min_rest,600.0,REST,,,,ON,20,0,na
5,6,0,0,1C_charge_to_58.8V,3600.0,CHARGE,27.0,58.6,0.1,ON,20,0,na
6,9,0,7,10min_rest_followed_by_pulse_train,600.0,REST,,,,ON,20,0,na
7,8,6,0,18s_1C_discharge,18.0,DISCHARGE,27.0,36.0,0.1,ON,20,0,na
8,7,6,0,6s_8C_discharge,6.0,DISCHARGE,216.0,36.0,54.0,ON,20,0,na
9,10,0,0,10min_rest,600.0,REST,,,,ON,20,0,na
10,0,0,0,postcondition_to_45deg,10,REST,,,,ON,45,25,na
