duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),step_name(str)
1800.0,REST,,,,ON,45.0,precondition_to_45deg
3600.0,CHARGE,60.0,58.8,27.0,ON,45.0,60A_charge_at_45deg
1800.0,REST,,,,ON,30.0,precondition_to_30deg
58.0,DISCHARGE,78.2,35.0,1,OFF,30.0,flight_profile_step_1
195.0,DISCHARGE,28.7,35.0,1,OFF,30.0,flight_profile_step_2
41.0,DISCHARGE,75.0,35.0,1,OFF,30.0,flight_profile_step_3
10.0,DISCHARGE,171.5,35.0,1,OFF,30.0,flight_profile_step_4
185.0,DISCHARGE,30.9,35.0,1,OFF,30.0,flight_profile_step_5
29.0,DISCHARGE,54.7,35.0,1,OFF,30.0,flight_profile_step_6
20.0,DISCHARGE,84.6,35.0,1,OFF,30.0,flight_profile_step_7
1.0,DISCHARGE,169.3,35.0,1,OFF,30.0,flight_profile_step_8
14.0,DISCHARGE,74.5,35.0,1,OFF,30.0,flight_profile_step_9
300.0,REST,,,,OFF,30.0,rest_for_5min
